id;family_name;phase_number;phase_name;symptom_description;affected_component;probable_cause;recommended_solution
;Confezionatrice flow-pack;;;Il taglio del film non è netto e le confezioni restano unite;Coltello di taglio;Lama consumata oppure controlama disallineata.;Sostituire la lama e regolare la controlama con lo spessimetro secondo il manuale.
;Confezionatrice flow-pack;2;Formatura tubolare;La fotocellula di registro non legge la tacca di stampa;Fotocellula di registro;Contrasto della tacca insufficiente con il nuovo film oppure sensibilità della fotocellula starata.;Ripetere l'autoapprendimento della fotocellula sulla tacca e sul fondo del film in uso.
;Confezionatrice flow-pack;;;La confezione non è sigillata sul lato lungo;Rulli di saldatura longitudinale;Temperatura dei rulli sotto il setpoint o pressione di contatto insufficiente.;Verificare temperatura reale e setpoint dei rulli e regolare la pressione di contatto.
;Cella di saldatura robotizzata;;;La cella di saldatura non completa il ciclo ed entra in allarme;Nastro trasportatore pallet;Il nastro trasportatore pallet è guasto e manda in allarme tutta la cella.;Ricercare il guasto nel nastro trasportatore pallet e nella sua logica sul PLC: motore, inverter, sensori di presenza pallet.
;Cella di saldatura robotizzata;;;La cella di saldatura non completa il ciclo ed entra in allarme;Barriera fotoelettrica di sicurezza;Barriera fotoelettrica interrotta o disallineata: il modulo di sicurezza arresta la cella.;Verificare l'allineamento della barriera, pulire le ottiche e ripristinare il modulo di sicurezza.
;Cella di saldatura robotizzata;;;La cella di saldatura non completa il ciclo ed entra in allarme;Torcia di saldatura;Intervento del sensore anticollisione della torcia dopo un urto con il pezzo o con gli staffaggi.;Controllare che la torcia non sia piegata, verificare il TCP con la punta di riferimento e ripristinare il sensore anticollisione.
;Cella di saldatura robotizzata;;;Il pallet non arriva in posizione di lavoro;Fermo pallet pneumatico;Il fermo pneumatico di posizionamento resta alzato o non si abbassa: elettrovalvola del fermo bloccata.;Azionare manualmente l'elettrovalvola del fermo e verificare che il cilindro si muova per tutta la corsa.
;Cella di saldatura robotizzata;1;Ingresso pallet;Il pallet non arriva in posizione di lavoro;Sensore presenza pallet;Sensore di ingresso pallet sporco o spostato: il PLC non comanda l'avanzamento verso la stazione.;Pulire il sensore di ingresso, riposizionarlo secondo la dima e verificare il segnale sul PLC.
;Cella di saldatura robotizzata;;;Il cordone di saldatura presenta porosità;Gas di protezione;Portata del gas di protezione insufficiente, bombola in esaurimento o ugello ostruito da spruzzi.;Verificare con il flussimetro una portata di 12-15 l/min, controllare la pressione della bombola e pulire l'ugello.
;Cella di saldatura robotizzata;;;Il filo di saldatura non avanza o avanza a scatti;Trainafilo;Rulli del trainafilo usurati o con pressione errata, oppure guaina guidafilo intasata.;Sostituire i rulli trainafilo, regolare la pressione dei rulli e soffiare o sostituire la guaina.
;Cella di saldatura robotizzata;3;Saldatura;L'arco di saldatura non si innesca;Generatore di saldatura;Cavo di massa scollegato o morsetto ossidato, oppure punta guidafilo consumata.;Verificare il collegamento del cavo di massa al pezzo, pulire il morsetto e sostituire la punta guidafilo.
;Cella di saldatura robotizzata;2;Bloccaggio pezzo;Gli staffaggi non bloccano il pezzo;Staffaggi pneumatici;Pressione insufficiente sulla linea degli staffaggi o elettrovalvola di comando guasta.;Verificare la pressione sul manometro degli staffaggi e azionare manualmente l'elettrovalvola di comando.
;Cella di saldatura robotizzata;2;Bloccaggio pezzo;Gli staffaggi bloccano il pezzo ma il robot non parte;Sensori di consenso staffaggi;Un sensore di staffaggio chiuso non rileva la posizione: il PLC non dà il consenso al robot.;Controllare sul PLC quale consenso manca, poi regolare o sostituire il sensore di quello staffaggio.
;Cella di saldatura robotizzata;;;Spruzzi di saldatura eccessivi sul pezzo;Parametri di saldatura;Tensione o velocità del filo non corrette per il programma in uso, oppure ugello sporco.;Verificare il programma di saldatura selezionato, pulire l'ugello e applicare il liquido antispruzzo.
